|Age   |Height |Weight |Gender |Bev1Amount |Bev1% |Bev2Amount |Bev2% |Bev3Amount |Bev3% |DrinkingTime |DrinksOften |
 39.94 ,134.94 ,197.9  ,1.0    ,1.59       ,0.01  ,1.72       ,0.03  ,0.03       ,0.23  ,4.55         ,0           
 65.09 ,226.43 ,70.92  ,1.0    ,3.06       ,0.01  ,0.96       ,0.04  ,0.85       ,0.27  ,0.58         ,1           
 22.27 ,129.16 ,230.44 ,1.0    ,4.89       ,0.07  ,0.57       ,0.01  ,1.1        ,0.21  ,1.71         ,2           
 31.91 ,189.13 ,299.88 ,1.0    ,4.03       ,0.05  ,2.57       ,0.1   ,0.21       ,0.27  ,2.39         ,2           
 72.21 ,189.15 ,159.67 ,0.0    ,1.9        ,0.04  ,1.03       ,0.09  ,0.24       ,0.12  ,1.74         ,2           
 96.07 ,150.38 ,53.01  ,1.0    ,3.16       ,0.0   ,1.52       ,0.17  ,1.33       ,0.02  ,5.35         ,2           
 70.2  ,215.32 ,121.85 ,1.0    ,0.16       ,0.06  ,2.6        ,0.01  ,0.87       ,0.23  ,2.0          ,0           
 42.19 ,188.65 ,271.6  ,0.0    ,4.65       ,0.07  ,1.37       ,0.13  ,1.21       ,0.07  ,0.85         ,0           
 78.76 ,154.82 ,129.48 ,1.0    ,4.0        ,0.03  ,0.09       ,0.2   ,0.71       ,0.01  ,4.17         ,2           
 67.86 ,141.61 ,298.09 ,1.0    ,2.87       ,0.02  ,1.62       ,0.19  ,1.31       ,0.01  ,2.61         ,1           
